,zpid,zipcode,yearBuilt,resoFacts.taxAnnualAmount,livingAreaValue,longitude,resoFacts.garageSpaces,schoolMaxRating,latitude,daysOnZillow,resoFacts.isSeniorCommunity,lotAreaValue,bathrooms,resoFacts.hasWaterfrontView,zestimate,schoolMinDistance,bedrooms,price/sqft,cityId_124815,cityId_125641,cityId_13560,cityId_13752,cityId_14563,cityId_19307,cityId_19341,cityId_20367,cityId_25911,cityId_32805,cityId_39760,cityId_398464,cityId_44434,cityId_46375,cityId_51467,cityId_52625,cityId_53787,cityId_56330,cityId_7433,zipcode_32780,zipcode_32796,zipcode_32901,zipcode_32903,zipcode_32904,zipcode_32905,zipcode_32907,zipcode_32908,zipcode_32909,zipcode_32920,zipcode_32922,zipcode_32926,zipcode_32927,zipcode_32931,zipcode_32934,zipcode_32935,zipcode_32937,zipcode_32940,zipcode_32949,zipcode_32950,zipcode_32951,zipcode_32952,zipcode_32953,zipcode_32955,zipcode_32976,price,predPrice_linear,priceDiff_linear,predPrice_RandFor,priceDiff_RandFor,predPrice_XGBoost,priceDiff_XGBoost,predPrice_ensemble,priceDiff_ensemble
30,43414075.0,32922,1962,2873.0,954.0,-80.76008,0.0,3.0,28.37359,107.0,0,8276.4,2.0,0,200000.0,0.5,3.0,209.64360587002096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.206077645517674,12.138416601837712,-0.06766104367996206,12.233253293297397,0.027175647779722922,12.1583605,-0.04771716425546657,12.195806887279801,-0.010270758237872712
31,43397620.0,32927,1960,1092.0,951.0,-80.765335,2.0,3.0,28.458563,131.0,0,6970.0,2.0,0,191300.0,1.8,3.0,215.56256572029443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.230770136157428,12.461239481899801,0.23046934574237277,12.247057295484225,0.01628715932679725,12.365464,0.13469407435282577,12.30626075299724,0.07549061683981151
32,43403631.0,32926,1965,1255.0,912.0,-80.784874,0.0,5.0,28.352598,105.0,0,7405.0,1.0,0,191200.0,1.4,3.0,224.78070175438597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.230770136157428,12.187414954295257,-0.04335518186217158,11.887035983095526,-0.34373415306190225,11.896948,-0.3338222754396547,11.89199192190665,-0.3387782142507785
33,43426714.0,32955,1951,2754.0,1596.0,-80.74354,1.0,4.0,28.341776,1.0,0,10454.4,2.0,0,209000.0,2.2,3.0,130.95238095238096,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.250094315624496,12.694842091027368,0.44474777540287214,12.623562275779673,0.37346796015517647,12.608506,0.3584118870732578,12.616034239238713,0.3659399236142171
34,43426761.0,32955,1952,1557.0,916.0,-80.74653,0.0,3.0,28.340923,169.0,0,9148.0,2.0,0,209000.0,1.3,3.0,228.16593886462883,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.250094315624496,12.355268190252923,0.1051738746284272,12.101800135983382,-0.14829417964111435,12.079639,-0.170454880810043,12.090719785398917,-0.15937453022557868
35,43487622.0,32901,1958,586.0,844.0,-80.63765,0.0,8.0,28.081772,101.0,0,6098.4,1.0,0,195300.0,2.1,2.0,247.63033175355451,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.250094315624496,12.26857236318622,0.018478047561723443,12.149318875606568,-0.10077544001792837,12.174229,-0.07586564741160551,12.16177377190973,-0.08832054371476694
36,54608680.0,32955,1962,1953.0,877.0,-80.74777,0.0,2.0,28.310564,99.0,0,8712.0,1.0,0,190800.0,1.4,2.0,238.31242873432151,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.250094315624496,12.303301282768437,0.05320696714394124,12.22109592151358,-0.02899839411091598,12.04491,-0.205183884716293,12.133003176210892,-0.1170911394136045
37,43496967.0,32905,1968,1676.0,1547.0,-80.579666,0.0,6.0,28.016514,14.0,0,7405.2,2.0,0,200200.0,1.4,3.0,135.6819650937298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.254391269970792,12.405542244231738,0.15115097426094515,12.47122945896508,0.21683818899428786,12.426891,0.17250005693350445,12.449060392934689,0.19466912296389616
38,43413031.0,32922,1951,2821.0,1015.0,-80.74525,0.0,4.0,28.363396,73.0,0,7840.8,1.0,0,198300.0,1.8,3.0,206.8965517241379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.25486757159303,12.143513005148064,-0.111354566444966,12.135110602097596,-0.11975696949543391,12.087528,-0.16733934283326413,12.111319415428682,-0.14354815616434813
39,66685527.0,32905,1980,2108.0,1236.0,-80.6113,0.0,5.0,28.040527,5.0,0,1306.8,2.0,0,207300.0,0.3,2.0,169.90291262135923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.25486757159303,12.302827916856115,0.04796034526308546,12.350151935881156,0.09528436428812626,12.39824,0.14337251782347415,12.37419601264883,0.1193284410558011
40,43485499.0,32907,1999,3759.0,1544.0,-80.69908,2.0,4.0,28.007248,34.0,0,10018.8,2.0,0,211000.0,1.5,3.0,136.6580310880829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.259618151783464,12.662331270535605,0.4027131187521409,12.612326134213856,0.3527079824303918,12.5865755,0.3269573563342121,12.599450821165766,0.33983266938230194
41,43414529.0,32922,1955,1660.0,864.0,-80.75304,0.0,5.0,28.35239,120.0,0,10890.0,2.0,0,201900.0,2.1,3.0,248.8414351851852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2783933071098,12.158877265289401,-0.11951604182039866,12.022262274599022,-0.25613103251077796,12.06883,-0.20956377067181187,12.045545905518505,-0.2328474015912949
42,43374184.0,32796,1986,723.0,1277.0,-80.85303,2.0,6.0,28.642002,13.0,0,6969.6,2.0,0,215000.0,1.4,3.0,168.363351605325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.278397958261774,12.546527210893725,0.268129252631951,12.55802881818005,0.2796308599182762,12.543751,0.2653528046776792,12.55088979055975,0.2724918322979768
43,338575531.0,32926,2022,463.0,540.0,-80.79229,0.0,6.0,28.354265,22.0,0,7405.2,1.0,0,207500.0,0.3,2.0,398.14814814814815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.278397958261774,12.093985881718456,-0.18441207654331748,11.982098678635248,-0.2962992796265258,12.086222,-0.19217626331548487,12.034160186790768,-0.24423777147100623
44,43372416.0,32796,1964,761.0,912.0,-80.84293,0.0,4.0,28.647194,219.0,0,9147.6,1.0,0,219000.0,1.3,3.0,240.1315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.296831574998258,12.151404340303491,-0.14542723469476648,12.10621074579475,-0.19062082920350853,12.011795,-0.28503653105294546,12.05900289487003,-0.2378286801282279
45,43377176.0,32780,1958,2557.0,1056.0,-80.818886,0.0,4.0,28.602835,41.0,0,8276.4,1.0,0,205700.0,0.4,3.0,207.38636363636363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.296831574998258,12.247749655501142,-0.04908191949711593,12.271282315445358,-0.025549259552899883,12.20807,-0.08876177366769156,12.239676058387962,-0.05715551661029572
46,43374947.0,32796,1958,1041.0,1441.0,-80.85752,0.0,5.0,28.61777,111.0,0,7840.8,1.0,0,206100.0,0.8,3.0,152.6023594725885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.300932724054114,12.306337249817258,0.005404525763143653,12.396936156112526,0.09600343205841178,12.334079,0.03314606470321024,12.365507472434924,0.06457474838081012
47,80775403.0,32940,1990,660.0,1026.0,-80.71277,1.0,3.0,28.249922,172.0,1,4356.0,2.0,0,202800.0,1.2,2.0,214.32748538011697,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12.300932724054114,12.437818931693084,0.13688620763896964,12.373209583928041,0.07227685987392718,12.2360525,-0.06488021093155538,12.3046310485253,0.0036983244711858987
