,zpid,homeType,homeStatus,daysOnZillow,priceOutlier,listPrice,streetAddress,zipcode,yearBuilt,bedrooms,bathrooms,livingAreaValue,livingAreaUnits,lotAreaValue,lotAreaUnits,zestimate,latitude,longitude,favoriteCount,pageViewCount,newConstructionType,resoFacts.associationFee,listingSubType.isForeclosure,resoFacts.isSeniorCommunity,resoFacts.propertySubType,hdpUrl,taxAssessedValue,cityId,rentZestimate,restimateHighPercent,restimateLowPercent,mortgageRates.thirtyYearFixedRate,mortgageRates.fifteenYearFixedRate,mortgageRates.arm5Rate,resoFacts.garageSpaces,resoFacts.hasAdditionalParcels,resoFacts.hasAssociation,resoFacts.hasAttachedGarage,resoFacts.hasAttachedProperty,resoFacts.hasGarage,resoFacts.hasPrivatePool,resoFacts.hasSpa,resoFacts.hasView,resoFacts.hasWaterfrontView,resoFacts.taxAnnualAmount,resoFacts.waterViewYN,price/sqft,schoolMaxRating,schoolMinDistance
30,43414075,SINGLE_FAMILY,FOR_SALE,84,0,200000.0,1817 Baylor Ct,32922,1962,3.0,2.0,954.0,Square Feet,8276.4,Square Feet,200000.0,28.37359,-80.76008,12.0,483.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/1817-Baylor-Ct-Cocoa-FL-32922/43414075_zpid/,129370.0,10889.0,1666.0,6.0,9.0,5.874,5.573,5.792,0.0,True,False,False,False,False,False,False,False,False,2873.0,False,209.64360587002096,4.0,0.9
31,43512423,SINGLE_FAMILY,FOR_SALE,3,1,200000.0,179 Cameron St SE,32909,1984,2.0,1.0,904.0,Square Feet,10018.8,Square Feet,200000.0,27.981522,-80.66857,119.0,1458.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/179-Cameron-St-SE-Palm-Bay-FL-32909/43512423_zpid/,163100.0,53787.0,3053.4541188738267,100.0,5.0,5.874,5.573,5.792,1.0,True,False,False,False,True,False,False,False,False,1098.0,False,221.23893805309734,4.0,0.7
32,43393805,SINGLE_FAMILY,FOR_SALE,40,0,202350.0,6010 Apple Ave,32927,1981,3.0,1.0,1536.0,Square Feet,10454.4,Square Feet,192300.0,28.463148,-80.791374,71.0,1864.0,False,0.0,True,False,Single Family Residence,www.zillow.com/homedetails/6010-Apple-Ave-Cocoa-FL-32927/43393805_zpid/,229730.0,10889.0,1949.0,11.0,10.0,5.874,5.573,5.792,1.0,True,False,False,False,True,False,False,True,False,3368.0,False,131.73828125,5.0,0.6
33,43397620,SINGLE_FAMILY,FOR_SALE,108,0,205000.0,314 Ronald St,32927,1960,3.0,2.0,951.0,Square Feet,6970.0,Square Feet,191100.0,28.458563,-80.765335,82.0,1222.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/314-Ronald-St-Cocoa-FL-32927/43397620_zpid/,36310.0,10889.0,1698.0,9.0,11.0,5.874,5.573,5.792,2.0,False,False,False,False,True,False,False,False,False,1092.0,False,215.56256572029443,2.0,5.3
34,43403631,SINGLE_FAMILY,FOR_SALE,83,0,205000.0,3884 Kennedy Cir,32926,1965,3.0,1.0,912.0,Square Feet,7405.0,Square Feet,191900.0,28.352598,-80.784874,23.0,337.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/3884-Kennedy-Cir-Cocoa-FL-32926/43403631_zpid/,72650.0,10889.0,1650.0,6.0,9.0,5.874,5.573,5.792,0.0,False,False,False,False,False,False,False,True,False,1255.0,False,224.78070175438597,3.0,1.5
35,43426761,SINGLE_FAMILY,FOR_SALE,146,0,209000.0,1303 Georgia Ave,32955,1952,3.0,2.0,916.0,Square Feet,9148.0,Square Feet,209000.0,28.340923,-80.74653,51.0,1080.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/1303-Georgia-Ave-Rockledge-FL-32955/43426761_zpid/,140510.0,13560.0,3053.4541188738267,100.0,5.0,5.874,5.573,5.792,0.0,False,False,False,False,False,False,False,False,False,1557.0,False,228.16593886462883,4.0,0.4
36,54608680,SINGLE_FAMILY,FOR_SALE,77,0,209000.0,1105 Martha Lee Ave,32955,1962,2.0,1.0,877.0,Square Feet,8712.0,Square Feet,203700.0,28.310564,-80.74777,35.0,712.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/1105-Martha-Lee-Ave-Rockledge-FL-32955/54608680_zpid/,142630.0,13560.0,1550.0,13.0,10.0,5.874,5.573,5.792,0.0,True,False,False,False,False,False,False,False,False,1953.0,False,238.31242873432154,4.0,0.2
37,43374956,SINGLE_FAMILY,FOR_SALE,2,0,209900.0,3860 Catalina St,32796,1958,3.0,1.0,1140.0,Square Feet,7405.2,Square Feet,209900.0,28.618404,-80.85839,8.0,280.0,False,0.0,True,False,Single Family Residence,www.zillow.com/homedetails/3860-Catalina-St-Titusville-FL-32796/43374956_zpid/,123660.0,7433.0,1949.0,10.0,10.0,5.874,5.573,5.792,1.0,True,False,False,False,True,False,False,False,False,1118.0,False,184.12280701754386,3.0,1.2
38,43492396,SINGLE_FAMILY,FOR_SALE,84,0,209900.0,2122 Monroe St NE,32905,1964,4.0,2.0,1440.0,Square Feet,6969.6,Square Feet,209900.0,28.053211,-80.601074,106.0,1686.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/2122-Monroe-St-NE-Palm-Bay-FL-32905/43492396_zpid/,165010.0,53787.0,1863.0,5.0,7.0,5.874,5.573,5.792,0.0,True,False,False,False,False,False,False,False,False,2338.0,False,145.76388888888889,3.0,0.7
39,43374638,SINGLE_FAMILY,FOR_SALE,56,0,210000.0,970 Allendale St,32796,1963,3.0,2.0,1104.0,Square Feet,6098.4,Square Feet,198200.0,28.628666,-80.859085,7.0,85.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/970-Allendale-St-Titusville-FL-32796/43374638_zpid/,159310.0,7433.0,1849.0,14.0,5.0,5.874,5.573,5.792,0.0,True,False,False,False,False,False,False,False,False,2183.0,False,190.2173913043478,3.0,0.7
